IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP487;CR_PRICE_1_USD
Арка 750*180 мм., □15 мм.;Арка 750*180 мм., □15 мм.;;;3.16
Балясина 860*140 мм., труба 15*15 мм.;Балясина 860*140 мм., труба 15*15 мм.;;;11.42
Ножка мебельная 730*165 мм.;Ножка мебельная 730*165 мм.;;;23.03
Полоса 25*4 мм., 3000 мм., прокатанная «Дерево»;Полоса 25*4 мм., 3000 мм., прокатанная «Дерево»;;;13.9
Лист 160*60 мм., ≠2 мм., штамп.;Лист 160*60 мм., ≠2 мм., штамп.;;;1.46
Лист 110*40 мм., ≠2 мм., штамп.;Лист 110*40 мм., ≠2 мм., штамп.;;;0.8
Лист 70*65 мм., ≠2 мм., штамп.;Лист 70*65 мм., ≠2 мм., штамп.;;;0.74
Мангал Горыныч 2,0+плита;Мангал Горыныч 2,0+плита;;;70.59
Эмаль медь (0.08 кг.) Церта-Патина;Эмаль медь (0.08 кг.) Церта-Патина;;;10.53
Ножка стола 680 мм., □15 мм.;Ножка стола 680 мм., □15 мм.;;;17.34
Накладка 240*410 мм., ≠1 мм., штамп.;Накладка 240*410 мм., ≠1 мм., штамп.;;;6.81
Накладка 231*255 мм., ≠1 мм., штамп.;Накладка 231*255 мм., ≠1 мм., штамп.;;;5.63
Накладка 160*220 мм., ≠1 мм., штамп.;Накладка 160*220 мм., ≠1 мм., штамп.;;;3.25
Накладка 450*300 мм., ≠1 мм., штамп.;Накладка 450*300 мм., ≠1 мм., штамп.;;;10.53
Накладка 173*183 мм., ≠2 мм., штамп., (пара);Накладка 173*183 мм., ≠2 мм., штамп., (пара);;;10.15
Накладка 70*1000 мм., ≠1 мм., штамп.;Накладка 70*1000 мм., ≠1 мм., штамп.;;;5.73
Угол 184*184 мм., ≠1 мм., штамп.;Угол 184*184 мм., ≠1 мм., штамп.;;;3.03
Угол 100*100 мм., ≠1 мм., штамп.;Угол 100*100 мм., ≠1 мм., штамп.;;;1.08
Лист 260*210 мм., ≠1 мм., штамп., (пара);Лист 260*210 мм., ≠1 мм., штамп., (пара);;;7.37
Лист 270*100 мм., ≠1 мм., штамп., (пара);Лист 270*100 мм., ≠1 мм., штамп., (пара);;;3.41
